enemy_unit_type,odds_of_victory,planet,population,size_of_force,universe
mecha,0.9890449741159676,Gaia,6.7,70000,Mirrodin
tank,0.5129829138267079,Kamigawa,3.4,14000,Dominaria
zealot,0.545522343477855,Korhal,6.7,65000,Zendikar
zealot,0.5439832673243125,Korhal,6.7,46000,Zendikar
drone,0.9738068880175879,Eos,8.5,20000,Mirrodin
mecha,0.8943584534152097,Korhal,6.7,63000,Zendikar
scout,0.6705544062211923,Aiur,5.1,31000,Zendikar
mecha,0.5040675356143649,Gaia,6.7,67000,Mirrodin
mecha,0.20615809063606305,Eos,8.5,3000,Mirrodin
drone,0.8561032117624114,Aiur,5.1,91000,Zendikar
dreadnought,0.7862895774375674,Gaia,6.7,83000,Mirrodin
battleship,0.09601847595685242,Korhal,6.7,66000,Zendikar
scout,0.8027385310508162,Ravnica,7.3,68000,Dominaria
negator,0.7522818374945971,Eos,8.5,86000,Mirrodin
zealot,0.7176892602969279,Korhal,6.7,5000,Zendikar
scout,0.8582614688163899,Eos,8.5,53000,Mirrodin
tank,0.38887149225059314,Aiur,5.1,57000,Zendikar
negator,0.7060032949478672,Gaia,6.7,98000,Mirrodin
dreadnought,0.013678782334206163,Gaia,6.7,51000,Mirrodin
mecha,0.3597372107632125,Ravnica,7.3,37000,Dominaria
overlord,0.06655821311757404,Aiur,5.1,60000,Zendikar
dreadnought,0.48427477230948224,Aiur,5.1,12000,Zendikar
overlord,0.4946204925811857,Kamigawa,3.4,97000,Dominaria
battleship,0.14244916379098949,Gaia,6.7,81000,Mirrodin
scout,0.7863273485917447,Kamigawa,3.4,80000,Dominaria
zealot,0.464048175028118,Kamigawa,3.4,19000,Dominaria
negator,0.5867233641106312,Gaia,6.7,63000,Mirrodin
battleship,0.17633908703611856,Aiur,5.1,48000,Zendikar
zealot,0.5619304535259887,Ravnica,7.3,84000,Dominaria
tank,0.4909892919626748,Gaia,6.7,50000,Mirrodin
scout,0.19188452490054475,Gaia,6.7,85000,Mirrodin
overlord,0.011881109771158527,Korhal,6.7,48000,Zendikar
negator,0.4524045811436639,Kamigawa,3.4,10000,Dominaria
drone,0.1978454482130193,Aiur,5.1,98000,Zendikar
battleship,0.9565921901607662,Eos,8.5,9000,Mirrodin
scout,0.4242213683264926,Eos,8.5,85000,Mirrodin
scout,0.826948544372958,Aiur,5.1,6000,Zendikar
tank,0.46727829740042115,Aiur,5.1,50000,Zendikar
battleship,0.7003480874210614,Ravnica,7.3,68000,Dominaria
tank,0.03105606881308176,Aiur,5.1,63000,Zendikar
scout,0.19564310371322713,Ravnica,7.3,86000,Dominaria
tank,0.26690354374880065,Kamigawa,3.4,59000,Dominaria
tank,0.37635971514620137,Kamigawa,3.4,90000,Dominaria
mecha,0.5968275574109514,Aiur,5.1,56000,Zendikar
battleship,0.5087248693805838,Kamigawa,3.4,97000,Dominaria
zealot,0.8813950796050766,Korhal,6.7,59000,Zendikar
tank,0.19731298422245647,Aiur,5.1,18000,Zendikar
tank,0.8935333449277464,Korhal,6.7,44000,Zendikar
scout,0.30429052149563296,Eos,8.5,18000,Mirrodin
dreadnought,0.8356120598442917,Gaia,6.7,79000,Mirrodin
drone,0.3315146386823761,Gaia,6.7,68000,Mirrodin
battleship,0.3210080683212222,Korhal,6.7,42000,Zendikar
negator,0.04175770300858972,Gaia,6.7,86000,Mirrodin
tank,0.601247079462156,Kamigawa,3.4,12000,Dominaria
negator,0.3937523054421941,Aiur,5.1,81000,Zendikar
zealot,0.7092725689851322,Gaia,6.7,59000,Mirrodin
drone,0.6355438018345492,Eos,8.5,85000,Mirrodin
negator,0.8595314418707174,Korhal,6.7,72000,Zendikar
battleship,0.6950635001794959,Kamigawa,3.4,1000,Dominaria
dreadnought,0.34919700222606065,Kamigawa,3.4,93000,Dominaria
zealot,0.5987734658300948,Aiur,5.1,68000,Zendikar
drone,0.8233394974040134,Gaia,6.7,3000,Mirrodin
scout,0.46933164981128295,Ravnica,7.3,86000,Dominaria
tank,0.11405765653193378,Korhal,6.7,48000,Zendikar
negator,0.43829028127101644,Korhal,6.7,93000,Zendikar
overlord,0.46642047133763276,Aiur,5.1,86000,Zendikar
zealot,0.6823364663849883,Ravnica,7.3,82000,Dominaria
zealot,0.17376230278231142,Ravnica,7.3,3000,Dominaria
drone,0.9353902900288018,Kamigawa,3.4,54000,Dominaria
dreadnought,0.175595953993126,Ravnica,7.3,16000,Dominaria
zealot,0.268543942860515,Ravnica,7.3,3000,Dominaria
negator,0.20520067031110034,Kamigawa,3.4,82000,Dominaria
scout,0.3521079360116831,Ravnica,7.3,1000,Dominaria
negator,0.08156363686642765,Kamigawa,3.4,7000,Dominaria
scout,0.4542491225346875,Ravnica,7.3,58000,Dominaria
dreadnought,0.30468808103320977,Korhal,6.7,92000,Zendikar
overlord,0.8204216137020002,Aiur,5.1,92000,Zendikar
overlord,0.9263307599464738,Aiur,5.1,35000,Zendikar
scout,0.1702797421532931,Eos,8.5,71000,Mirrodin
overlord,0.2713157426815992,Kamigawa,3.4,22000,Dominaria
overlord,0.7935827216720734,Kamigawa,3.4,87000,Dominaria
negator,0.21666553597402827,Ravnica,7.3,26000,Dominaria
battleship,0.6858309652136184,Ravnica,7.3,96000,Dominaria
tank,0.29638453074735704,Gaia,6.7,61000,Mirrodin
mecha,0.6989718791972269,Ravnica,7.3,16000,Dominaria
drone,0.9368290897839111,Korhal,6.7,9000,Zendikar
overlord,0.9302699029771642,Eos,8.5,50000,Mirrodin
negator,0.889301081535217,Kamigawa,3.4,6000,Dominaria
negator,0.07499916343064361,Ravnica,7.3,46000,Dominaria
overlord,0.07592382191755676,Eos,8.5,82000,Mirrodin
tank,0.42877365926837574,Ravnica,7.3,49000,Dominaria
scout,0.25452849994314486,Aiur,5.1,3000,Zendikar
drone,0.4117442881653238,Aiur,5.1,42000,Zendikar
drone,0.16399851707792568,Ravnica,7.3,41000,Dominaria
dreadnought,0.18695089081540084,Korhal,6.7,83000,Zendikar
zealot,0.21114359287281603,Gaia,6.7,66000,Mirrodin
battleship,0.6014686840488707,Aiur,5.1,87000,Zendikar
battleship,0.9927459538045269,Eos,8.5,45000,Mirrodin
zealot,0.6960795395859464,Ravnica,7.3,47000,Dominaria
overlord,0.9094336116704432,Gaia,6.7,96000,Mirrodin
negator,0.3591139108527266,Eos,8.5,73000,Mirrodin
dreadnought,0.44576185884573316,Ravnica,7.3,46000,Dominaria
zealot,0.37680847468846623,Kamigawa,3.4,26000,Dominaria
mecha,0.10280084314630678,Korhal,6.7,86000,Zendikar
scout,0.36941408407523435,Korhal,6.7,66000,Zendikar
overlord,0.2757644462517139,Aiur,5.1,38000,Zendikar
zealot,0.0071359420439174315,Gaia,6.7,7000,Mirrodin
drone,0.2853243375822886,Korhal,6.7,38000,Zendikar
zealot,0.48057168554020235,Eos,8.5,32000,Mirrodin
drone,0.32925846802546244,Eos,8.5,72000,Mirrodin
dreadnought,0.7134907859726534,Ravnica,7.3,83000,Dominaria
dreadnought,0.062265941344172404,Eos,8.5,22000,Mirrodin
scout,0.696453945922528,Kamigawa,3.4,93000,Dominaria
tank,0.13382828618623188,Ravnica,7.3,75000,Dominaria
drone,0.39292179146068384,Gaia,6.7,7000,Mirrodin
mecha,0.9516352069883325,Korhal,6.7,58000,Zendikar
tank,0.9516606000171138,Eos,8.5,4000,Mirrodin
battleship,0.08892055558676848,Ravnica,7.3,41000,Dominaria
scout,0.3609921035889868,Eos,8.5,56000,Mirrodin
overlord,0.18982456532920955,Ravnica,7.3,3000,Dominaria
zealot,0.025270417816544377,Ravnica,7.3,6000,Dominaria
dreadnought,0.024191257200465666,Gaia,6.7,90000,Mirrodin
negator,0.009486278642706236,Kamigawa,3.4,96000,Dominaria
battleship,0.043452499459805005,Kamigawa,3.4,19000,Dominaria
negator,0.8406664815689529,Ravnica,7.3,85000,Dominaria
zealot,0.3352707318082959,Aiur,5.1,43000,Zendikar
dreadnought,0.0745753792065239,Gaia,6.7,39000,Mirrodin
scout,0.784460034619155,Ravnica,7.3,9000,Dominaria
dreadnought,0.30132350865008006,Ravnica,7.3,15000,Dominaria
tank,0.1976632813295296,Ravnica,7.3,28000,Dominaria
scout,0.5449546568909955,Ravnica,7.3,45000,Dominaria
tank,0.054815188749733235,Eos,8.5,3000,Mirrodin
overlord,0.6720115141623744,Ravnica,7.3,73000,Dominaria
negator,0.18483845514139308,Ravnica,7.3,22000,Dominaria
zealot,0.38988112329688684,Korhal,6.7,68000,Zendikar
mecha,0.4777778788663698,Ravnica,7.3,10000,Dominaria
drone,0.652664908272782,Eos,8.5,53000,Mirrodin
zealot,0.6828317152254778,Gaia,6.7,20000,Mirrodin
scout,0.6985965452533607,Aiur,5.1,8000,Zendikar
mecha,0.8479681972628337,Korhal,6.7,69000,Zendikar
zealot,0.8310517902289151,Korhal,6.7,16000,Zendikar
zealot,0.9671974462699051,Gaia,6.7,98000,Mirrodin
tank,0.6593497644488377,Eos,8.5,2000,Mirrodin
dreadnought,0.10687642227095584,Ravnica,7.3,6000,Dominaria
mecha,0.3254710152527871,Aiur,5.1,22000,Zendikar
zealot,0.38481087297839545,Gaia,6.7,39000,Mirrodin
mecha,0.5199101093601609,Gaia,6.7,59000,Mirrodin
zealot,0.8197018249086941,Gaia,6.7,5000,Mirrodin
zealot,0.007668849510111153,Gaia,6.7,36000,Mirrodin
zealot,0.5881579082036842,Korhal,6.7,86000,Zendikar
overlord,0.9787594553169447,Ravnica,7.3,48000,Dominaria
negator,0.6036815156868416,Gaia,6.7,50000,Mirrodin
dreadnought,0.22828452528034526,Eos,8.5,50000,Mirrodin
mecha,0.3550255243567656,Aiur,5.1,92000,Zendikar
dreadnought,0.27668496346321025,Gaia,6.7,28000,Mirrodin
battleship,0.1315595045206691,Gaia,6.7,44000,Mirrodin
scout,0.04387691170532626,Eos,8.5,98000,Mirrodin
negator,0.8804659085876992,Gaia,6.7,87000,Mirrodin
negator,0.6795427492393182,Aiur,5.1,98000,Zendikar
overlord,0.8802778120858603,Aiur,5.1,33000,Zendikar
battleship,0.42793471509619063,Ravnica,7.3,74000,Dominaria
scout,0.009883514605441346,Eos,8.5,52000,Mirrodin
scout,0.11801417828811533,Ravnica,7.3,96000,Dominaria
mecha,0.3767950654807346,Aiur,5.1,96000,Zendikar
negator,0.7188592484714749,Korhal,6.7,78000,Zendikar
dreadnought,0.9652522984250953,Korhal,6.7,23000,Zendikar
mecha,0.8478268949790128,Ravnica,7.3,21000,Dominaria
overlord,0.2960218381262789,Eos,8.5,93000,Mirrodin
mecha,0.14584178447722462,Eos,8.5,39000,Mirrodin
negator,0.49019906875636354,Aiur,5.1,91000,Zendikar
overlord,0.6656431684497875,Korhal,6.7,69000,Zendikar
mecha,0.3980514514033051,Korhal,6.7,41000,Zendikar
dreadnought,0.9763153346741047,Gaia,6.7,28000,Mirrodin
tank,0.5478451941603895,Ravnica,7.3,87000,Dominaria
battleship,0.5355329875654401,Kamigawa,3.4,22000,Dominaria
battleship,0.7169788912487388,Eos,8.5,5000,Mirrodin
drone,0.9423265837385186,Kamigawa,3.4,40000,Dominaria
zealot,0.29665583334781087,Aiur,5.1,70000,Zendikar
overlord,0.23091826409104632,Kamigawa,3.4,64000,Dominaria
overlord,0.5396844014903793,Kamigawa,3.4,54000,Dominaria
tank,0.6361460762486909,Eos,8.5,94000,Mirrodin
overlord,0.9574843343830894,Kamigawa,3.4,45000,Dominaria
dreadnought,0.3912327049351625,Ravnica,7.3,92000,Dominaria
battleship,0.5472458759387657,Gaia,6.7,87000,Mirrodin
battleship,0.16528946316944593,Ravnica,7.3,36000,Dominaria
negator,0.40028375300354213,Korhal,6.7,47000,Zendikar
drone,0.801343355007229,Gaia,6.7,49000,Mirrodin
overlord,0.4705149564819475,Ravnica,7.3,91000,Dominaria
negator,0.4632333889752661,Ravnica,7.3,16000,Dominaria
battleship,0.5564522726008797,Eos,8.5,18000,Mirrodin
drone,0.16704887436885152,Kamigawa,3.4,12000,Dominaria
overlord,0.5381240458117802,Aiur,5.1,21000,Zendikar
negator,0.4305045017255089,Kamigawa,3.4,13000,Dominaria
tank,0.5967026092184047,Gaia,6.7,34000,Mirrodin
negator,0.8280119272815133,Gaia,6.7,32000,Mirrodin
tank,0.4473346869539133,Aiur,5.1,24000,Zendikar
tank,0.35497200244769145,Ravnica,7.3,74000,Dominaria
drone,0.24682101869491846,Aiur,5.1,78000,Zendikar
battleship,0.36541788506488515,Gaia,6.7,69000,Mirrodin
dreadnought,0.20131596468722524,Aiur,5.1,75000,Zendikar
zealot,0.6366398378196156,Kamigawa,3.4,10000,Dominaria
negator,0.5221471663711693,Korhal,6.7,57000,Zendikar
scout,0.6969401628728931,Eos,8.5,77000,Mirrodin
battleship,0.01372383599869842,Ravnica,7.3,29000,Dominaria
zealot,0.30464166091749867,Kamigawa,3.4,33000,Dominaria
zealot,0.9277752654570256,Gaia,6.7,7000,Mirrodin
overlord,0.016217213540420272,Eos,8.5,77000,Mirrodin
scout,0.6084695323425141,Ravnica,7.3,83000,Dominaria
tank,0.6955885256113874,Gaia,6.7,79000,Mirrodin
dreadnought,0.7010278796776004,Kamigawa,3.4,55000,Dominaria
dreadnought,0.832224842832932,Korhal,6.7,1000,Zendikar
scout,0.3853784012720193,Aiur,5.1,90000,Zendikar
tank,0.7740751488023565,Korhal,6.7,57000,Zendikar
scout,0.2660815630447667,Ravnica,7.3,79000,Dominaria
zealot,0.3639844070163062,Aiur,5.1,22000,Zendikar
negator,0.2980130325268101,Gaia,6.7,33000,Mirrodin
overlord,0.2539965592066009,Kamigawa,3.4,70000,Dominaria
overlord,0.12372894212637398,Ravnica,7.3,56000,Dominaria
mecha,0.45102675402948744,Korhal,6.7,93000,Zendikar
mecha,0.7583232547829459,Kamigawa,3.4,47000,Dominaria
dreadnought,0.7082193598164307,Ravnica,7.3,37000,Dominaria
scout,0.09344203008441532,Eos,8.5,77000,Mirrodin
drone,0.3068267284267625,Kamigawa,3.4,88000,Dominaria
scout,0.3705031132182419,Gaia,6.7,77000,Mirrodin
zealot,0.8112017838248498,Korhal,6.7,80000,Zendikar
zealot,0.5221257400619866,Aiur,5.1,15000,Zendikar
tank,0.4263032590644389,Korhal,6.7,73000,Zendikar
tank,0.5723937404250581,Gaia,6.7,75000,Mirrodin
dreadnought,0.613424963073603,Gaia,6.7,49000,Mirrodin
tank,0.5045862340129207,Eos,8.5,17000,Mirrodin
tank,0.6767340930843332,Kamigawa,3.4,59000,Dominaria
tank,0.0948818489539206,Korhal,6.7,65000,Zendikar
battleship,0.011455320564458416,Eos,8.5,50000,Mirrodin
tank,0.7605559008489965,Kamigawa,3.4,72000,Dominaria
drone,0.8990303922502221,Eos,8.5,3000,Mirrodin
zealot,0.5832382453140224,Aiur,5.1,46000,Zendikar
negator,0.8730084452272892,Eos,8.5,15000,Mirrodin
zealot,0.3615880531756943,Aiur,5.1,18000,Zendikar
drone,0.29530199954778913,Ravnica,7.3,90000,Dominaria
overlord,0.1991489910752372,Kamigawa,3.4,73000,Dominaria
overlord,0.23657093537338114,Korhal,6.7,62000,Zendikar
scout,0.8536069249933679,Ravnica,7.3,42000,Dominaria
battleship,0.8214200615306377,Eos,8.5,26000,Mirrodin
dreadnought,0.7808519338101194,Aiur,5.1,92000,Zendikar
tank,0.6523896637066752,Kamigawa,3.4,39000,Dominaria
overlord,0.5818912647203218,Eos,8.5,89000,Mirrodin
drone,0.6294941922774538,Korhal,6.7,4000,Zendikar
overlord,0.2268452232513195,Kamigawa,3.4,10000,Dominaria
dreadnought,0.8528084385927612,Korhal,6.7,3000,Zendikar
drone,0.3644544559927012,Korhal,6.7,45000,Zendikar
battleship,0.4889128006094309,Ravnica,7.3,58000,Dominaria
negator,0.6101856454235266,Aiur,5.1,95000,Zendikar
dreadnought,0.24906448511082924,Korhal,6.7,37000,Zendikar
mecha,0.6933840026363625,Eos,8.5,8000,Mirrodin
drone,0.17866722400387391,Korhal,6.7,1000,Zendikar
dreadnought,0.18053554046855458,Gaia,6.7,5000,Mirrodin
mecha,0.7846950803303643,Eos,8.5,49000,Mirrodin
zealot,0.6362426425685433,Eos,8.5,23000,Mirrodin
tank,0.24890957784329526,Kamigawa,3.4,28000,Dominaria
negator,0.7098743914119533,Eos,8.5,69000,Mirrodin
scout,0.690822987620587,Kamigawa,3.4,83000,Dominaria
dreadnought,0.14928713089558,Gaia,6.7,71000,Mirrodin
negator,0.20882728908340364,Gaia,6.7,28000,Mirrodin
dreadnought,0.01730577225661445,Kamigawa,3.4,94000,Dominaria
overlord,0.9456253511399944,Kamigawa,3.4,38000,Dominaria
scout,0.06325901747011653,Ravnica,7.3,56000,Dominaria
battleship,0.26332465058773236,Ravnica,7.3,17000,Dominaria
zealot,0.7512829873301483,Gaia,6.7,76000,Mirrodin
battleship,0.7619696974825345,Ravnica,7.3,95000,Dominaria
overlord,0.4672745861135539,Korhal,6.7,29000,Zendikar
mecha,0.10210096370201505,Gaia,6.7,83000,Mirrodin
tank,0.44725907657529695,Kamigawa,3.4,54000,Dominaria
zealot,0.47522645798693985,Ravnica,7.3,20000,Dominaria
battleship,0.5655112832022323,Korhal,6.7,59000,Zendikar
mecha,0.8818508959857856,Gaia,6.7,26000,Mirrodin
scout,0.32346382382278915,Kamigawa,3.4,39000,Dominaria
zealot,0.7058650008490324,Korhal,6.7,40000,Zendikar
zealot,0.9635519164327614,Ravnica,7.3,63000,Dominaria
drone,0.08847738969373653,Korhal,6.7,50000,Zendikar
negator,0.11274118368890174,Gaia,6.7,57000,Mirrodin
scout,0.5683566188011345,Aiur,5.1,51000,Zendikar
overlord,0.13097424793952495,Kamigawa,3.4,84000,Dominaria
tank,0.36596324046860507,Aiur,5.1,43000,Zendikar
mecha,0.6538936590702302,Ravnica,7.3,98000,Dominaria
scout,0.295460606727563,Kamigawa,3.4,90000,Dominaria
mecha,0.2521803531932262,Kamigawa,3.4,30000,Dominaria
negator,0.11794286032128332,Korhal,6.7,82000,Zendikar
mecha,0.2197058067797273,Gaia,6.7,9000,Mirrodin
negator,0.33484074987496404,Gaia,6.7,97000,Mirrodin
zealot,0.16908077193221072,Kamigawa,3.4,11000,Dominaria
dreadnought,0.7456292879377064,Eos,8.5,40000,Mirrodin
tank,0.465992534365844,Aiur,5.1,53000,Zendikar
zealot,0.16199171792604317,Aiur,5.1,47000,Zendikar
negator,0.24951337872522306,Kamigawa,3.4,27000,Dominaria
mecha,0.4102831697683679,Kamigawa,3.4,14000,Dominaria
dreadnought,0.4439412155194976,Ravnica,7.3,51000,Dominaria
battleship,0.139953049572334,Gaia,6.7,41000,Mirrodin
dreadnought,0.7744817073859418,Kamigawa,3.4,37000,Dominaria
dreadnought,0.6338501616701946,Aiur,5.1,11000,Zendikar
overlord,0.6297145165957148,Aiur,5.1,49000,Zendikar
dreadnought,0.8967548687962228,Korhal,6.7,56000,Zendikar
negator,0.32603433426871453,Eos,8.5,16000,Mirrodin
overlord,0.5675184309421243,Gaia,6.7,83000,Mirrodin
mecha,0.37267825334664506,Eos,8.5,97000,Mirrodin
tank,0.7054412199252534,Korhal,6.7,92000,Zendikar
scout,0.7323309486842697,Aiur,5.1,33000,Zendikar
scout,0.6085101316784283,Korhal,6.7,38000,Zendikar
overlord,0.07718096580525224,Eos,8.5,76000,Mirrodin
overlord,0.8669474955928681,Eos,8.5,8000,Mirrodin
drone,0.9070296205428661,Gaia,6.7,93000,Mirrodin
tank,0.1216141488996767,Ravnica,7.3,90000,Dominaria
overlord,0.07035340886852937,Aiur,5.1,98000,Zendikar
dreadnought,0.7398898149162965,Kamigawa,3.4,1000,Dominaria
mecha,0.214792451355998,Korhal,6.7,26000,Zendikar
dreadnought,0.5417764435289582,Kamigawa,3.4,6000,Dominaria
overlord,0.10065915408062176,Korhal,6.7,41000,Zendikar
tank,0.6747174423801648,Aiur,5.1,85000,Zendikar
scout,0.024265363472907753,Gaia,6.7,47000,Mirrodin
scout,0.46944904077171046,Ravnica,7.3,10000,Dominaria
mecha,0.2588158785367347,Eos,8.5,87000,Mirrodin
battleship,0.18028763793318892,Korhal,6.7,38000,Zendikar
tank,0.5003470620345953,Gaia,6.7,21000,Mirrodin
mecha,0.13973734642622904,Gaia,6.7,75000,Mirrodin
mecha,0.2857302169242518,Gaia,6.7,38000,Mirrodin
scout,0.27759594808860644,Ravnica,7.3,72000,Dominaria
scout,0.699331589462532,Korhal,6.7,45000,Zendikar
zealot,0.5591103609077663,Ravnica,7.3,65000,Dominaria
overlord,0.4207503411912782,Aiur,5.1,41000,Zendikar
battleship,0.6069735541192879,Ravnica,7.3,59000,Dominaria
overlord,0.9939365355055638,Gaia,6.7,71000,Mirrodin
tank,0.8138994345405927,Korhal,6.7,90000,Zendikar
battleship,0.3725820713345026,Korhal,6.7,93000,Zendikar
battleship,0.1040805566004771,Eos,8.5,96000,Mirrodin
overlord,0.032576852093861075,Korhal,6.7,21000,Zendikar
scout,0.1300258550053034,Aiur,5.1,82000,Zendikar
mecha,0.08428074453941414,Aiur,5.1,83000,Zendikar
zealot,0.9405932511214543,Eos,8.5,62000,Mirrodin
drone,0.7153295434734881,Kamigawa,3.4,44000,Dominaria
zealot,0.39029015993349625,Korhal,6.7,3000,Zendikar
overlord,0.4088972828209214,Aiur,5.1,50000,Zendikar
zealot,0.9216277542510695,Aiur,5.1,54000,Zendikar
mecha,0.24307129642608172,Korhal,6.7,33000,Zendikar
drone,0.32688045209128924,Ravnica,7.3,43000,Dominaria
scout,0.6175780844270015,Ravnica,7.3,70000,Dominaria
dreadnought,0.39405195943132953,Gaia,6.7,55000,Mirrodin
drone,0.3043198870697267,Eos,8.5,16000,Mirrodin
negator,0.03757835348447369,Eos,8.5,71000,Mirrodin
dreadnought,0.33022868348817125,Kamigawa,3.4,71000,Dominaria
zealot,0.5501595082173568,Kamigawa,3.4,73000,Dominaria
tank,0.5783937914734957,Aiur,5.1,72000,Zendikar
negator,0.2840097955617401,Eos,8.5,11000,Mirrodin
mecha,0.5874825380156765,Eos,8.5,45000,Mirrodin
overlord,0.5438946193630484,Korhal,6.7,45000,Zendikar
drone,0.40503606066934017,Aiur,5.1,88000,Zendikar
mecha,0.8834750049333019,Korhal,6.7,1000,Zendikar
battleship,0.3047708244606182,Kamigawa,3.4,87000,Dominaria
dreadnought,0.8906792166627877,Gaia,6.7,15000,Mirrodin
battleship,0.22425994188771547,Korhal,6.7,5000,Zendikar
negator,0.33597957346552143,Aiur,5.1,37000,Zendikar
overlord,0.9882929712009938,Kamigawa,3.4,84000,Dominaria
dreadnought,0.8091214862147331,Korhal,6.7,70000,Zendikar
tank,0.49058327229414556,Korhal,6.7,72000,Zendikar
battleship,0.5101990423311312,Eos,8.5,11000,Mirrodin
dreadnought,0.812417975699729,Eos,8.5,49000,Mirrodin
scout,0.9880504080632697,Aiur,5.1,94000,Zendikar
battleship,0.4536147962592424,Ravnica,7.3,80000,Dominaria
battleship,0.21736812494322633,Aiur,5.1,73000,Zendikar
battleship,0.18333447044966333,Korhal,6.7,44000,Zendikar
scout,0.24517718235476238,Korhal,6.7,24000,Zendikar
battleship,0.3382446271973861,Kamigawa,3.4,62000,Dominaria
negator,0.4261674959007915,Ravnica,7.3,94000,Dominaria
overlord,0.8236251127302666,Ravnica,7.3,38000,Dominaria
battleship,0.2691425717882001,Aiur,5.1,78000,Zendikar
mecha,0.8558611522235753,Kamigawa,3.4,7000,Dominaria
battleship,0.017523647696061073,Gaia,6.7,24000,Mirrodin
tank,0.7474039762679614,Eos,8.5,97000,Mirrodin
tank,0.38904597270006613,Aiur,5.1,28000,Zendikar
tank,0.07568416619068341,Korhal,6.7,5000,Zendikar
negator,0.2636973251989042,Ravnica,7.3,86000,Dominaria
overlord,0.23429862776860122,Kamigawa,3.4,59000,Dominaria
drone,0.8439941612607623,Aiur,5.1,25000,Zendikar
mecha,0.8081683974541202,Gaia,6.7,95000,Mirrodin
dreadnought,0.14266792123474958,Ravnica,7.3,33000,Dominaria
scout,0.27806353392532157,Ravnica,7.3,80000,Dominaria
scout,0.5416238745169607,Kamigawa,3.4,71000,Dominaria
zealot,0.2195289019570733,Eos,8.5,7000,Mirrodin
overlord,0.26279344112229985,Gaia,6.7,98000,Mirrodin
dreadnought,0.45654211801658995,Ravnica,7.3,64000,Dominaria
dreadnought,0.8891991510888673,Eos,8.5,33000,Mirrodin
scout,0.06533715337811519,Ravnica,7.3,92000,Dominaria
drone,0.809110030346607,Korhal,6.7,10000,Zendikar
dreadnought,0.9246523102799551,Eos,8.5,15000,Mirrodin
zealot,0.48562122069380786,Gaia,6.7,66000,Mirrodin
tank,0.6493940216789493,Ravnica,7.3,52000,Dominaria
tank,0.8196054244519784,Ravnica,7.3,64000,Dominaria
battleship,0.5253431843500282,Ravnica,7.3,61000,Dominaria
battleship,0.8096748588529902,Gaia,6.7,86000,Mirrodin
overlord,0.6328546098339186,Aiur,5.1,31000,Zendikar
dreadnought,0.5517733240325988,Aiur,5.1,31000,Zendikar
overlord,0.1492274545197988,Ravnica,7.3,18000,Dominaria
overlord,0.8308197345093953,Gaia,6.7,74000,Mirrodin
mecha,0.10236849230026313,Eos,8.5,23000,Mirrodin
overlord,0.7632685220126971,Korhal,6.7,20000,Zendikar
scout,0.6915279232413575,Gaia,6.7,8000,Mirrodin
overlord,0.971792930582842,Gaia,6.7,21000,Mirrodin
drone,0.3392702117220543,Ravnica,7.3,89000,Dominaria
overlord,0.282220176248953,Korhal,6.7,28000,Zendikar
mecha,0.45215320128285164,Kamigawa,3.4,20000,Dominaria
zealot,0.2000252035710447,Eos,8.5,72000,Mirrodin
drone,0.9296317584044126,Eos,8.5,70000,Mirrodin
drone,0.27300740463403406,Eos,8.5,89000,Mirrodin
dreadnought,0.9595750397711132,Korhal,6.7,58000,Zendikar
drone,0.16011066044023525,Aiur,5.1,80000,Zendikar
mecha,0.042207210190126854,Eos,8.5,18000,Mirrodin
battleship,0.2758902778898774,Korhal,6.7,51000,Zendikar
scout,0.9409147821374024,Eos,8.5,70000,Mirrodin
dreadnought,0.6166521295572599,Eos,8.5,67000,Mirrodin
negator,0.6760864463369198,Eos,8.5,80000,Mirrodin
drone,0.014480178227357032,Aiur,5.1,10000,Zendikar
scout,0.8223647601205465,Korhal,6.7,49000,Zendikar
mecha,0.016788884084249278,Ravnica,7.3,77000,Dominaria
overlord,0.8719598225935655,Aiur,5.1,58000,Zendikar
negator,0.7183004692704197,Ravnica,7.3,56000,Dominaria
overlord,0.4772476558837031,Korhal,6.7,37000,Zendikar
zealot,0.13454897660652654,Ravnica,7.3,6000,Dominaria
zealot,0.7411945360633196,Ravnica,7.3,37000,Dominaria
drone,0.11970592498132582,Kamigawa,3.4,93000,Dominaria
tank,0.06786959150120797,Korhal,6.7,75000,Zendikar
battleship,0.20087932089250038,Korhal,6.7,89000,Zendikar
mecha,0.46753454583362664,Gaia,6.7,27000,Mirrodin
zealot,0.9480883363080326,Aiur,5.1,71000,Zendikar
zealot,0.4134850716172438,Kamigawa,3.4,46000,Dominaria
negator,0.7274938419868645,Gaia,6.7,57000,Mirrodin
drone,0.202325346417074,Kamigawa,3.4,70000,Dominaria
overlord,0.653241285800226,Ravnica,7.3,65000,Dominaria
mecha,0.7926155389179881,Gaia,6.7,40000,Mirrodin
battleship,0.9317884976419665,Ravnica,7.3,66000,Dominaria
tank,0.5865767921120554,Ravnica,7.3,69000,Dominaria
overlord,0.17366352676121177,Kamigawa,3.4,55000,Dominaria
tank,0.7881571959105448,Aiur,5.1,27000,Zendikar
negator,0.39629384362855424,Eos,8.5,68000,Mirrodin
scout,0.06855044101509611,Aiur,5.1,60000,Zendikar
mecha,0.9776797643585753,Aiur,5.1,5000,Zendikar
negator,0.19050278944672283,Eos,8.5,59000,Mirrodin
