cancelled,contract length,days active,invites sent,money spent,occupation,used coupon code,user ID
yes,monthly,59,10,1017,sales,yes,6139
yes,monthly,12,8,133,designer,no,6140
no,monthly,40,4,609,developer,yes,6141
yes,monthly,0,3,456,product manager,no,6142
no,annual,81,20,21,engineering manager,no,6143
no,monthly,1,9,207,product manager,yes,6144
no,monthly,2,12,148,product manager,no,6145
no,monthly,140,8,1158,engineering manager,no,6146
no,monthly,15,4,1058,product manager,no,6147
no,monthly,58,13,502,engineering manager,no,6148
no,monthly,11,3,416,product manager,no,6149
yes,annual,21,9,1060,product manager,yes,6150
no,annual,47,7,16,product manager,yes,6151
yes,annual,40,5,567,marketer,no,6152
yes,annual,69,0,739,designer,no,6153
yes,monthly,88,3,527,sales,no,6154
no,monthly,123,9,682,developer,yes,6155
no,monthly,80,3,478,product manager,no,6156
no,annual,121,1,833,product manager,yes,6157
yes,monthly,46,6,702,product manager,no,6158
yes,monthly,56,3,473,designer,no,6159
no,monthly,125,7,314,engineering manager,no,6160
no,monthly,63,20,54,developer,no,6161
no,monthly,135,6,646,developer,yes,6162
yes,annual,13,8,1101,sales,yes,6163
no,monthly,51,12,541,engineering manager,no,6164
no,monthly,142,1,554,developer,no,6165
no,monthly,60,17,593,developer,yes,6166
no,monthly,59,15,559,engineering manager,yes,6167
yes,monthly,12,8,13,sales,yes,6168
yes,monthly,47,7,1188,designer,yes,6169
no,annual,43,5,266,product manager,yes,6170
yes,monthly,16,11,1031,designer,yes,6171
yes,monthly,76,8,1146,product manager,no,6172
yes,monthly,72,12,23,engineering manager,no,6173
no,monthly,58,14,674,developer,yes,6174
no,annual,42,1,154,developer,yes,6175
no,monthly,16,8,738,engineering manager,no,6176
no,annual,17,4,425,developer,yes,6177
no,annual,144,1,121,engineering manager,yes,6178
no,monthly,45,18,527,engineering manager,no,6179
no,monthly,6,18,245,developer,yes,6180
yes,monthly,25,3,94,sales,yes,6181
yes,monthly,35,8,1044,sales,yes,6182
no,monthly,140,15,223,product manager,no,6183
no,monthly,120,2,58,developer,yes,6184
no,monthly,90,7,402,engineering manager,no,6185
no,monthly,37,17,992,developer,no,6186
no,annual,20,6,890,product manager,yes,6187
no,monthly,128,0,771,developer,no,6188
yes,monthly,76,11,321,marketer,no,6189
no,monthly,47,7,153,developer,no,6190
no,monthly,147,17,463,product manager,yes,6191
no,monthly,62,2,608,developer,no,6192
no,annual,136,20,873,developer,yes,6193
no,monthly,78,7,573,product manager,yes,6194
no,annual,138,15,29,engineering manager,no,6195
yes,monthly,47,0,25,marketer,yes,6196
no,annual,20,19,122,developer,yes,6197
no,annual,130,11,267,product manager,no,6198
yes,annual,38,8,1104,product manager,no,6199
no,annual,128,5,10,product manager,no,6200
no,monthly,96,14,135,engineering manager,no,6201
yes,monthly,63,3,604,sales,yes,6202
no,annual,60,9,235,developer,no,6203
yes,annual,53,11,690,developer,no,6204
yes,annual,27,6,765,designer,no,6205
yes,monthly,91,7,923,product manager,no,6206
no,monthly,56,8,944,product manager,yes,6207
no,monthly,59,18,821,engineering manager,no,6208
no,monthly,117,10,38,developer,no,6209
yes,annual,19,6,759,designer,yes,6210
no,monthly,5,5,1098,engineering manager,yes,6211
no,monthly,138,16,698,product manager,yes,6212
no,annual,118,14,647,developer,no,6213
no,annual,29,9,269,engineering manager,no,6214
yes,monthly,9,9,889,sales,no,6215
no,annual,22,14,446,developer,yes,6216
yes,monthly,83,0,636,sales,no,6217
no,monthly,110,0,453,product manager,yes,6218
no,annual,14,5,670,product manager,no,6219
no,monthly,46,4,705,product manager,no,6220
no,monthly,34,7,327,developer,yes,6221
no,annual,94,0,424,product manager,no,6222
no,monthly,92,11,112,product manager,no,6223
yes,monthly,54,10,1016,designer,yes,6224
no,monthly,67,10,483,engineering manager,yes,6225
no,annual,129,3,147,product manager,yes,6226
no,annual,56,19,51,engineering manager,yes,6227
yes,annual,93,5,83,engineering manager,no,6228
no,monthly,131,5,936,developer,no,6229
yes,monthly,75,5,1120,marketer,no,6230
no,annual,114,0,418,developer,no,6231
no,monthly,114,12,877,product manager,no,6232
no,annual,64,11,133,developer,no,6233
yes,monthly,71,8,1035,marketer,yes,6234
no,monthly,88,17,298,engineering manager,yes,6235
no,monthly,106,4,410,developer,yes,6236
no,monthly,32,10,1152,engineering manager,yes,6237
yes,monthly,93,10,581,designer,no,6238
yes,monthly,57,0,552,product manager,no,6239
no,monthly,53,11,388,product manager,yes,6240
no,monthly,63,17,515,engineering manager,no,6241
no,monthly,37,9,3,engineering manager,yes,6242
no,monthly,64,18,821,engineering manager,no,6243
no,monthly,30,20,423,product manager,no,6244
no,monthly,70,9,575,developer,no,6245
yes,annual,5,2,712,designer,yes,6246
no,monthly,130,20,323,engineering manager,yes,6247
no,monthly,41,6,12,product manager,no,6248
no,annual,96,2,331,product manager,no,6249
yes,annual,19,5,1056,developer,yes,6250
no,monthly,125,9,624,developer,no,6251
no,monthly,147,2,1178,engineering manager,no,6252
no,annual,116,4,926,developer,yes,6253
yes,monthly,89,4,201,sales,no,6254
yes,monthly,87,3,366,engineering manager,no,6255
yes,monthly,39,9,322,designer,no,6256
no,monthly,17,1,800,engineering manager,no,6257
no,annual,16,4,386,engineering manager,no,6258
yes,monthly,4,9,685,sales,yes,6259
no,monthly,138,19,19,developer,no,6260
no,monthly,23,3,663,engineering manager,yes,6261
no,monthly,102,14,191,developer,no,6262
no,annual,148,3,298,product manager,yes,6263
no,monthly,111,5,766,developer,no,6264
yes,monthly,99,12,383,engineering manager,yes,6265
no,monthly,11,3,654,engineering manager,yes,6266
no,monthly,66,4,286,developer,yes,6267
yes,monthly,83,5,121,engineering manager,no,6268
yes,monthly,32,1,892,product manager,no,6269
no,annual,109,1,602,engineering manager,yes,6270
no,annual,74,1,972,developer,yes,6271
no,monthly,35,9,26,developer,yes,6272
yes,annual,80,5,704,developer,yes,6273
no,annual,100,2,161,developer,no,6274
no,annual,12,20,537,developer,no,6275
no,monthly,31,5,846,product manager,no,6276
no,monthly,32,1,848,developer,no,6277
no,annual,38,19,455,engineering manager,yes,6278
no,monthly,80,1,1161,engineering manager,no,6279
no,monthly,80,8,348,developer,yes,6280
no,monthly,99,1,411,engineering manager,no,6281
no,monthly,116,13,286,developer,yes,6282
no,monthly,126,15,853,product manager,yes,6283
no,annual,127,16,568,developer,no,6284
yes,monthly,7,1,998,sales,no,6285
no,monthly,49,12,1003,developer,no,6286
no,monthly,39,12,666,product manager,no,6287
no,monthly,139,15,690,product manager,yes,6288
no,monthly,12,15,182,developer,no,6289
no,monthly,128,13,815,engineering manager,yes,6290
yes,monthly,17,1,623,engineering manager,yes,6291
yes,monthly,37,5,1172,marketer,yes,6292
no,annual,139,1,854,engineering manager,no,6293
yes,monthly,95,10,459,sales,no,6294
no,monthly,134,2,1097,product manager,yes,6295
yes,monthly,67,2,604,designer,no,6296
no,monthly,112,16,585,engineering manager,no,6297
no,monthly,132,17,68,product manager,yes,6298
no,annual,114,6,641,developer,yes,6299
no,monthly,37,15,368,developer,yes,6300
no,monthly,123,3,943,developer,no,6301
yes,monthly,14,9,216,designer,no,6302
no,monthly,50,5,390,developer,yes,6303
no,monthly,86,0,349,product manager,no,6304
no,annual,126,17,40,developer,yes,6305
yes,monthly,31,7,1071,sales,no,6306
no,monthly,76,7,968,product manager,no,6307
no,annual,95,11,244,product manager,no,6308
yes,annual,91,1,321,product manager,no,6309
no,annual,11,19,242,developer,no,6310
no,monthly,73,14,701,product manager,no,6311
no,monthly,131,20,1044,product manager,yes,6312
no,annual,29,15,1162,product manager,yes,6313
no,annual,25,16,1081,engineering manager,no,6314
yes,monthly,72,5,263,product manager,yes,6315
no,monthly,126,7,1091,developer,no,6316
no,monthly,63,11,7,developer,no,6317
no,monthly,80,5,956,product manager,no,6318
no,monthly,77,9,720,engineering manager,yes,6319
no,monthly,73,20,1021,engineering manager,yes,6320
no,annual,83,2,903,developer,no,6321
no,monthly,109,18,1057,engineering manager,yes,6322
no,monthly,109,6,580,developer,no,6323
no,annual,69,4,453,engineering manager,yes,6324
yes,annual,21,6,389,engineering manager,yes,6325
no,monthly,56,12,905,product manager,no,6326
no,annual,130,1,578,product manager,no,6327
no,annual,115,14,1124,developer,yes,6328
no,monthly,111,0,371,developer,no,6329
yes,monthly,65,2,381,marketer,yes,6330
no,monthly,44,6,211,developer,yes,6331
yes,monthly,17,11,396,developer,no,6332
yes,annual,78,4,950,developer,yes,6333
no,annual,7,1,234,product manager,no,6334
no,annual,100,13,992,developer,yes,6335
no,annual,50,14,695,product manager,yes,6336
yes,monthly,50,12,172,developer,no,6337
no,monthly,11,1,1147,engineering manager,no,6338
no,monthly,91,11,638,developer,no,6339
yes,monthly,63,2,397,developer,no,6340
yes,annual,14,9,1109,designer,no,6341
no,monthly,22,16,850,product manager,no,6342
no,monthly,149,3,282,engineering manager,no,6343
no,monthly,25,6,443,product manager,no,6344
no,monthly,142,10,656,engineering manager,no,6345
no,monthly,69,15,609,product manager,no,6346
no,annual,124,1,895,product manager,no,6347
no,monthly,21,9,90,product manager,no,6348
yes,annual,64,8,569,sales,no,6349
no,monthly,23,6,450,product manager,yes,6350
yes,annual,29,4,922,engineering manager,no,6351
no,monthly,33,9,1118,engineering manager,yes,6352
yes,annual,20,0,566,sales,no,6353
yes,monthly,44,9,1154,sales,yes,6354
no,monthly,97,15,893,engineering manager,yes,6355
no,monthly,77,8,520,product manager,no,6356
no,monthly,14,14,425,engineering manager,no,6357
no,monthly,68,1,345,developer,yes,6358
yes,monthly,73,7,1145,developer,no,6359
no,monthly,69,4,461,engineering manager,no,6360
no,monthly,113,1,302,product manager,no,6361
yes,monthly,70,2,488,developer,no,6362
no,monthly,2,8,769,engineering manager,no,6363
yes,monthly,76,6,609,sales,no,6364
yes,annual,41,5,619,sales,no,6365
no,monthly,17,0,1079,engineering manager,no,6366
yes,monthly,16,5,512,developer,no,6367
yes,monthly,21,9,783,engineering manager,no,6368
no,annual,121,10,1028,developer,no,6369
no,monthly,25,15,200,product manager,no,6370
no,monthly,63,9,291,product manager,yes,6371
yes,monthly,59,8,254,sales,yes,6372
no,monthly,30,7,498,developer,yes,6373
no,monthly,93,14,678,developer,no,6374
yes,monthly,43,10,692,engineering manager,yes,6375
no,monthly,37,4,582,product manager,no,6376
no,monthly,141,9,712,developer,yes,6377
no,monthly,3,15,861,engineering manager,no,6378
yes,monthly,36,1,847,developer,yes,6379
yes,annual,39,6,1088,sales,no,6380
no,monthly,135,16,830,engineering manager,no,6381
no,monthly,118,10,856,developer,no,6382
no,annual,108,13,690,developer,no,6383
no,annual,24,16,1152,product manager,yes,6384
no,annual,2,9,420,developer,yes,6385
yes,monthly,4,11,636,engineering manager,yes,6386
no,monthly,19,7,870,engineering manager,no,6387
no,monthly,87,4,393,engineering manager,yes,6388
yes,monthly,75,9,523,marketer,no,6389
yes,monthly,6,5,380,sales,no,6390
no,monthly,60,4,1001,product manager,no,6391
yes,monthly,46,6,663,developer,no,6392
no,monthly,95,16,758,product manager,no,6393
yes,monthly,79,9,788,developer,no,6394
no,monthly,128,18,515,developer,yes,6395
no,annual,123,17,609,developer,yes,6396
yes,monthly,61,5,541,engineering manager,no,6397
yes,monthly,45,8,1106,sales,no,6398
no,monthly,139,16,504,developer,yes,6399
no,monthly,101,4,467,engineering manager,no,6400
no,monthly,131,7,307,product manager,yes,6401
no,monthly,127,20,1010,developer,yes,6402
yes,monthly,55,12,510,developer,no,6403
no,annual,75,17,409,product manager,yes,6404
yes,monthly,9,9,1046,developer,yes,6405
yes,monthly,52,10,789,marketer,yes,6406
no,monthly,143,4,834,developer,no,6407
no,monthly,54,12,472,product manager,no,6408
yes,annual,79,1,1039,designer,yes,6409
yes,monthly,9,11,415,sales,no,6410
no,annual,89,13,728,engineering manager,yes,6411
no,monthly,9,0,552,product manager,yes,6412
no,monthly,78,19,1019,product manager,no,6413
no,monthly,38,18,1024,product manager,no,6414
no,monthly,137,18,312,engineering manager,no,6415
no,monthly,80,13,502,developer,no,6416
yes,monthly,59,12,0,designer,yes,6417
no,monthly,32,10,1105,product manager,yes,6418
no,annual,132,11,433,product manager,no,6419
no,monthly,35,12,1106,engineering manager,no,6420
yes,annual,52,4,100,product manager,no,6421
no,annual,21,5,725,product manager,yes,6422
no,monthly,112,0,762,engineering manager,no,6423
no,monthly,86,10,507,product manager,no,6424
yes,monthly,89,10,1085,developer,yes,6425
no,monthly,149,2,1034,developer,no,6426
yes,monthly,27,12,119,designer,yes,6427
no,monthly,36,7,1042,product manager,no,6428
yes,annual,37,1,960,sales,yes,6429
yes,monthly,46,4,550,marketer,yes,6430
no,monthly,139,15,400,product manager,yes,6431
no,annual,92,20,425,developer,yes,6432
no,monthly,146,6,388,developer,yes,6433
yes,monthly,96,0,887,product manager,no,6434
no,monthly,58,1,688,product manager,yes,6435
no,monthly,41,4,799,engineering manager,yes,6436
no,annual,128,2,1181,developer,no,6437
yes,annual,29,7,872,product manager,no,6438
no,monthly,141,0,768,developer,no,6439
no,annual,126,7,628,engineering manager,yes,6440
yes,annual,69,2,410,product manager,no,6441
yes,monthly,34,12,55,marketer,no,6442
yes,monthly,23,11,1117,developer,yes,6443
yes,monthly,11,7,1014,engineering manager,no,6444
no,annual,104,17,530,product manager,no,6445
yes,monthly,53,12,318,engineering manager,no,6446
no,monthly,2,14,925,engineering manager,yes,6447
no,monthly,17,6,439,engineering manager,no,6448
no,monthly,38,1,821,engineering manager,yes,6449
no,annual,131,8,70,developer,no,6450
no,monthly,1,9,1141,engineering manager,no,6451
no,annual,108,19,181,engineering manager,no,6452
no,annual,73,10,167,engineering manager,no,6453
no,annual,128,8,945,engineering manager,no,6454
yes,monthly,51,7,249,product manager,yes,6455
yes,monthly,94,3,1040,marketer,yes,6456
no,monthly,118,11,1129,product manager,no,6457
yes,monthly,60,8,33,marketer,no,6458
no,annual,126,12,894,product manager,no,6459
no,monthly,82,6,520,developer,no,6460
no,annual,56,3,11,product manager,yes,6461
yes,annual,39,2,235,designer,yes,6462
yes,monthly,92,0,4,engineering manager,no,6463
no,annual,77,10,774,engineering manager,no,6464
yes,monthly,51,1,319,product manager,no,6465
yes,annual,6,12,830,designer,yes,6466
no,monthly,133,10,257,developer,no,6467
no,monthly,115,7,266,product manager,no,6468
no,monthly,132,18,83,product manager,no,6469
yes,annual,38,2,1029,designer,no,6470
yes,monthly,15,11,251,engineering manager,yes,6471
no,annual,130,6,946,engineering manager,yes,6472
no,monthly,102,8,238,engineering manager,no,6473
no,monthly,16,0,898,product manager,yes,6474
no,annual,54,12,579,product manager,no,6475
yes,monthly,35,12,377,engineering manager,no,6476
no,monthly,127,18,465,product manager,yes,6477
no,annual,134,14,189,product manager,yes,6478
no,monthly,56,11,255,engineering manager,no,6479
yes,monthly,72,6,902,engineering manager,yes,6480
no,monthly,26,20,413,product manager,no,6481
yes,monthly,26,5,503,product manager,yes,6482
no,monthly,118,12,1148,product manager,no,6483
no,annual,72,12,569,engineering manager,yes,6484
yes,monthly,33,5,187,designer,yes,6485
no,annual,2,3,265,engineering manager,no,6486
yes,monthly,14,0,498,developer,yes,6487
yes,annual,18,0,912,marketer,yes,6488
no,monthly,59,17,1119,product manager,no,6489
no,annual,25,5,98,product manager,no,6490
yes,monthly,38,10,810,designer,yes,6491
no,monthly,0,16,367,engineering manager,no,6492
no,annual,113,0,465,engineering manager,no,6493
yes,monthly,90,10,378,marketer,yes,6494
no,annual,89,4,362,developer,no,6495
yes,monthly,29,4,1059,designer,yes,6496
no,monthly,2,14,463,developer,no,6497
no,monthly,73,2,1054,engineering manager,no,6498
no,annual,97,0,958,engineering manager,yes,6499
no,annual,127,19,127,developer,yes,6500
yes,monthly,90,0,740,marketer,yes,6501
no,monthly,69,17,608,developer,no,6502
yes,monthly,7,1,522,sales,yes,6503
no,annual,30,4,524,developer,yes,6504
no,annual,0,12,644,product manager,no,6505
yes,monthly,4,0,359,product manager,yes,6506
no,monthly,20,4,716,product manager,no,6507
yes,monthly,27,9,634,developer,no,6508
no,monthly,38,10,1086,engineering manager,no,6509
no,annual,145,1,888,product manager,no,6510
no,annual,29,7,1040,engineering manager,no,6511
no,monthly,14,6,465,developer,no,6512
no,monthly,30,18,943,engineering manager,yes,6513
yes,annual,35,1,851,product manager,no,6514
no,monthly,135,17,651,product manager,yes,6515
no,monthly,10,6,721,developer,no,6516
yes,monthly,49,12,1022,sales,no,6517
no,annual,20,16,961,developer,yes,6518
yes,monthly,31,2,295,sales,no,6519
no,monthly,10,2,291,developer,no,6520
no,monthly,112,15,1149,engineering manager,no,6521
no,annual,46,3,865,engineering manager,no,6522
no,monthly,143,13,65,product manager,yes,6523
no,monthly,117,11,239,developer,yes,6524
no,monthly,132,9,379,developer,no,6525
no,monthly,41,18,0,product manager,no,6526
yes,monthly,6,8,580,developer,no,6527
yes,annual,20,8,743,sales,no,6528
yes,monthly,75,6,150,developer,yes,6529
no,annual,23,0,57,developer,no,6530
yes,annual,40,11,790,marketer,yes,6531
no,monthly,124,11,993,developer,yes,6532
no,annual,116,18,126,product manager,no,6533
no,annual,23,10,602,developer,yes,6534
no,monthly,34,13,891,product manager,no,6535
no,monthly,23,19,348,product manager,no,6536
yes,monthly,59,3,1074,engineering manager,no,6537
yes,monthly,28,4,713,marketer,yes,6538
no,annual,54,6,58,engineering manager,no,6539
yes,monthly,9,10,402,developer,yes,6540
yes,annual,22,2,175,designer,yes,6541
yes,annual,91,3,839,engineering manager,yes,6542
yes,annual,33,10,913,sales,yes,6543
no,monthly,56,19,465,engineering manager,no,6544
no,monthly,32,19,14,engineering manager,yes,6545
no,monthly,111,19,203,developer,no,6546
yes,monthly,96,10,1189,product manager,yes,6547
no,annual,86,16,481,engineering manager,no,6548
no,annual,31,13,609,product manager,yes,6549
yes,monthly,43,11,1009,sales,yes,6550
no,monthly,97,8,48,product manager,yes,6551
no,monthly,78,14,647,product manager,yes,6552
no,monthly,112,1,93,engineering manager,no,6553
no,monthly,8,16,488,developer,yes,6554
no,monthly,17,6,233,developer,no,6555
yes,monthly,91,8,780,marketer,no,6556
yes,monthly,20,6,1158,developer,yes,6557
no,monthly,140,2,748,developer,yes,6558
no,annual,129,9,182,engineering manager,no,6559
yes,monthly,62,9,614,marketer,yes,6560
no,monthly,39,9,639,engineering manager,no,6561
no,monthly,61,14,725,developer,no,6562
no,monthly,125,6,143,engineering manager,no,6563
no,monthly,94,13,897,engineering manager,no,6564
yes,monthly,74,6,909,product manager,no,6565
yes,monthly,43,5,750,product manager,no,6566
yes,monthly,72,7,204,sales,no,6567
no,monthly,130,15,96,product manager,no,6568
no,annual,93,0,441,engineering manager,no,6569
yes,monthly,75,9,509,marketer,yes,6570
no,monthly,66,10,764,developer,yes,6571
no,monthly,95,18,659,developer,yes,6572
no,monthly,91,13,784,engineering manager,yes,6573
no,monthly,131,8,852,developer,yes,6574
no,monthly,52,1,647,developer,no,6575
yes,annual,20,9,269,product manager,no,6576
no,monthly,129,7,594,product manager,no,6577
no,monthly,85,13,1021,developer,no,6578
no,monthly,47,16,229,product manager,yes,6579
no,monthly,73,14,863,product manager,yes,6580
no,monthly,53,10,670,product manager,no,6581
yes,monthly,80,10,770,engineering manager,no,6582
no,annual,54,5,1130,product manager,no,6583
no,monthly,67,13,287,developer,yes,6584
no,monthly,107,19,1113,product manager,no,6585
no,annual,93,8,68,developer,yes,6586
no,monthly,23,14,90,product manager,no,6587
no,monthly,12,17,1141,engineering manager,yes,6588
no,annual,62,0,266,engineering manager,no,6589
no,monthly,98,19,649,developer,yes,6590
yes,annual,46,3,1191,product manager,no,6591
no,monthly,61,8,220,product manager,no,6592
yes,monthly,34,8,181,designer,yes,6593
no,monthly,4,8,190,developer,yes,6594
no,monthly,108,6,194,product manager,no,6595
no,annual,145,18,92,product manager,yes,6596
no,annual,26,20,604,product manager,yes,6597
no,monthly,115,8,28,product manager,no,6598
no,monthly,43,20,955,developer,no,6599
no,monthly,6,15,636,engineering manager,no,6600
no,monthly,106,19,597,developer,no,6601
yes,annual,77,10,109,engineering manager,no,6602
no,annual,87,4,385,developer,yes,6603
no,annual,46,16,933,engineering manager,no,6604
no,monthly,30,2,500,product manager,no,6605
no,monthly,40,14,366,product manager,yes,6606
no,monthly,36,17,1141,developer,no,6607
no,annual,58,8,384,engineering manager,no,6608
yes,monthly,11,6,171,marketer,no,6609
no,annual,89,11,801,developer,yes,6610
no,annual,8,19,979,engineering manager,no,6611
no,monthly,57,7,1046,developer,no,6612
no,monthly,115,3,824,developer,no,6613
yes,annual,76,3,556,designer,no,6614
no,monthly,93,7,55,developer,no,6615
yes,monthly,64,5,431,marketer,no,6616
no,monthly,125,9,219,engineering manager,no,6617
no,annual,105,2,166,engineering manager,no,6618
yes,monthly,46,2,93,product manager,yes,6619
yes,monthly,59,10,1059,marketer,no,6620
no,monthly,142,6,1069,engineering manager,no,6621
yes,monthly,85,6,1184,marketer,yes,6622
no,annual,86,5,940,product manager,yes,6623
no,monthly,60,14,428,developer,yes,6624
no,annual,31,6,1099,developer,yes,6625
no,monthly,74,9,239,engineering manager,yes,6626
no,monthly,113,9,842,engineering manager,no,6627
yes,annual,72,8,253,marketer,no,6628
yes,monthly,37,6,1190,designer,yes,6629
no,monthly,1,8,544,engineering manager,no,6630
yes,annual,7,6,13,product manager,yes,6631
yes,monthly,91,4,1005,engineering manager,no,6632
no,monthly,3,11,755,engineering manager,no,6633
no,monthly,21,18,44,product manager,no,6634
no,monthly,139,19,65,engineering manager,yes,6635
no,monthly,17,8,498,developer,no,6636
no,monthly,93,1,218,product manager,no,6637
no,annual,109,6,341,developer,yes,6638
no,annual,26,2,864,product manager,yes,6639
no,monthly,30,0,80,developer,no,6640
no,monthly,80,17,523,developer,no,6641
no,monthly,139,8,557,product manager,no,6642
yes,monthly,66,3,62,engineering manager,no,6643
no,annual,29,20,324,product manager,no,6644
no,monthly,145,4,143,developer,no,6645
yes,monthly,76,3,906,developer,no,6646
no,monthly,70,2,216,engineering manager,no,6647
no,monthly,23,16,219,developer,no,6648
no,annual,10,8,783,developer,no,6649
no,monthly,8,20,1035,product manager,yes,6650
no,annual,140,17,232,product manager,no,6651
no,monthly,4,2,625,engineering manager,yes,6652
no,monthly,132,17,397,product manager,no,6653
no,monthly,95,3,267,engineering manager,yes,6654
no,monthly,0,5,583,developer,no,6655
no,monthly,124,13,474,developer,no,6656
no,monthly,130,18,1193,developer,no,6657
no,monthly,103,1,369,developer,no,6658
no,monthly,97,11,146,product manager,yes,6659
yes,monthly,86,11,654,sales,yes,6660
no,monthly,130,15,443,engineering manager,no,6661
no,monthly,99,5,280,developer,no,6662
no,monthly,106,8,606,developer,no,6663
no,monthly,12,9,1134,product manager,yes,6664
no,monthly,121,19,1085,engineering manager,no,6665
yes,monthly,93,11,1191,sales,no,6666
no,annual,99,17,727,product manager,yes,6667
yes,monthly,83,12,352,product manager,no,6668
no,annual,70,13,1103,developer,no,6669
no,monthly,110,0,602,product manager,yes,6670
no,monthly,41,1,538,product manager,no,6671
no,annual,16,12,1048,engineering manager,no,6672
no,annual,11,1,4,engineering manager,yes,6673
no,annual,31,3,131,engineering manager,yes,6674
no,monthly,19,7,410,product manager,no,6675
no,monthly,106,6,680,product manager,no,6676
no,monthly,37,5,924,developer,yes,6677
no,monthly,109,13,75,developer,yes,6678
no,annual,110,7,814,developer,no,6679
no,monthly,53,2,1126,engineering manager,no,6680
no,monthly,40,11,114,product manager,no,6681
no,monthly,115,14,677,engineering manager,yes,6682
yes,monthly,35,10,119,engineering manager,yes,6683
no,annual,19,4,908,developer,yes,6684
no,monthly,67,3,963,product manager,no,6685
yes,monthly,43,5,273,sales,no,6686
no,monthly,57,2,135,product manager,yes,6687
yes,monthly,40,11,992,engineering manager,yes,6688
no,annual,117,16,983,product manager,yes,6689
yes,monthly,23,10,627,engineering manager,yes,6690
no,monthly,16,6,205,engineering manager,no,6691
yes,annual,95,10,728,designer,yes,6692
yes,monthly,42,7,261,designer,no,6693
no,annual,125,14,717,developer,no,6694
no,monthly,143,1,737,engineering manager,yes,6695
no,annual,17,2,451,engineering manager,no,6696
no,monthly,11,6,713,engineering manager,no,6697
no,monthly,142,12,929,developer,yes,6698
yes,monthly,5,7,74,developer,no,6699
no,monthly,14,6,1153,engineering manager,yes,6700
no,annual,119,9,1148,engineering manager,yes,6701
no,annual,76,9,302,developer,no,6702
no,monthly,124,3,685,engineering manager,yes,6703
no,monthly,103,8,660,product manager,no,6704
yes,monthly,6,12,553,marketer,no,6705
no,monthly,63,4,322,developer,yes,6706
no,monthly,147,20,734,developer,no,6707
yes,monthly,63,5,847,marketer,no,6708
no,monthly,51,4,1092,product manager,no,6709
no,monthly,143,3,882,engineering manager,no,6710
no,monthly,108,20,1007,engineering manager,yes,6711
yes,annual,76,7,336,engineering manager,yes,6712
no,monthly,6,10,411,product manager,no,6713
no,annual,3,10,1142,product manager,yes,6714
no,annual,2,6,837,engineering manager,no,6715
yes,monthly,10,0,541,developer,no,6716
no,annual,141,19,587,product manager,yes,6717
no,monthly,27,0,1014,developer,no,6718
no,annual,88,20,398,product manager,no,6719
yes,annual,47,10,626,product manager,no,6720
yes,monthly,55,2,399,engineering manager,no,6721
no,monthly,45,14,104,product manager,yes,6722
yes,monthly,84,4,1090,engineering manager,no,6723
no,monthly,22,15,246,developer,yes,6724
no,annual,91,7,213,developer,yes,6725
no,monthly,126,7,1089,developer,yes,6726
no,annual,135,0,577,developer,no,6727
yes,monthly,83,11,329,product manager,yes,6728
no,monthly,136,0,758,developer,no,6729
no,monthly,32,14,390,product manager,no,6730
yes,monthly,67,8,164,engineering manager,yes,6731
yes,annual,5,7,67,engineering manager,yes,6732
yes,monthly,2,6,749,sales,no,6733
no,annual,134,16,621,engineering manager,no,6734
no,monthly,38,4,487,engineering manager,yes,6735
no,monthly,30,0,273,product manager,yes,6736
yes,annual,1,12,316,sales,yes,6737
no,monthly,48,2,393,engineering manager,no,6738
no,monthly,72,4,246,product manager,no,6739
no,monthly,11,12,704,product manager,no,6740
no,monthly,2,14,43,product manager,no,6741
no,annual,130,20,82,product manager,no,6742
no,annual,41,10,815,product manager,no,6743
yes,monthly,79,8,1193,designer,yes,6744
no,monthly,123,5,159,product manager,no,6745
yes,annual,24,6,1044,engineering manager,yes,6746
no,annual,68,5,255,product manager,no,6747
yes,annual,3,7,24,sales,yes,6748
no,annual,11,8,556,developer,yes,6749
no,monthly,36,19,110,developer,no,6750
no,monthly,45,15,819,developer,yes,6751
no,monthly,82,16,298,engineering manager,no,6752
no,monthly,99,1,1155,engineering manager,no,6753
no,monthly,43,16,1167,developer,no,6754
yes,annual,94,7,1061,product manager,yes,6755
no,annual,109,13,826,engineering manager,no,6756
yes,annual,22,2,953,engineering manager,no,6757
yes,monthly,89,1,448,developer,yes,6758
no,monthly,6,19,1038,product manager,no,6759
no,monthly,80,16,1059,product manager,yes,6760
no,monthly,122,3,1069,developer,no,6761
yes,monthly,10,2,73,engineering manager,yes,6762
no,monthly,37,10,789,product manager,yes,6763
yes,annual,35,12,803,sales,no,6764
no,annual,91,6,657,developer,no,6765
no,monthly,116,2,1082,engineering manager,yes,6766
no,annual,71,10,645,developer,no,6767
yes,annual,18,3,746,sales,no,6768
no,monthly,67,14,44,engineering manager,no,6769
no,monthly,142,3,38,developer,no,6770
no,annual,120,15,188,engineering manager,yes,6771
yes,monthly,1,11,370,sales,no,6772
no,annual,16,16,768,engineering manager,no,6773
no,monthly,59,9,875,engineering manager,yes,6774
no,monthly,76,15,1192,developer,yes,6775
no,annual,137,3,929,engineering manager,no,6776
no,annual,18,0,173,engineering manager,yes,6777
no,monthly,19,6,1030,product manager,yes,6778
no,annual,39,12,1048,developer,no,6779
no,monthly,80,19,969,engineering manager,yes,6780
